question,answer,unit,image_url
"Если бы все муравьи мира построились в линию, сколько раз они обогнули бы Землю?",2500000,раз,static/images_webp/1.webp
"Если бы всю еду, съедаемую человечеством за день, сложить в пирамиду, сколько Эйфелевых башен получилось?",1624,башен,static/images_webp/2.webp
"Если бы все книги мира разложить в стопку, какой высоты она была?",3900,км,static/images_webp/3.webp
Сколько вывезли КАМАЗов с наличными деньгами из главного офиса финансовой пирамиды «МММ» при обысках в 1994 году?,17,КАМАЗов,static/images_webp/4.webp
"Если бы всю пиццу, съедаемую в мире за год, выложить в линию, сколько раз она обогнула бы Землю?",38,раз,static/images_webp/5.webp
"Если бы все звёзды Млечного Пути раздать людям, сколько звёзд получил бы каждый?",25,звёзд,static/images_webp/6.webp
"Сколько физически крепких мужчин нужно, чтобы победить взрослого самца гориллы в рукопашной схватке?",20,мужчин,static/images_webp/7.webp
"Сколько понадобилось бы деревьев, чтобы распечатать все страницы интернета?",16000000,деревьев,static/images_webp/8.webp
"Сколько попыток в среднем человеку требуется, чтобы окончательно бросить курить?",7,попыток,static/images_webp/9.webp
Сколько зубов у улитки?,25000,зубов,static/images_webp/10.webp
Сколько килограммов весила самая большая тыква?,1226,кг,static/images_webp/11.webp
Сколько минут длилась самая длинная партия в шахматы?,1215,мин,static/images_webp/12.webp
Сколько пунктов выдачи заказов у компании Wildberries в России?,94000,пунктов,static/images_webp/13.webp
Сколько фирменных магазинов Balenciaga работает по всему миру?,282,магазинов,static/images_webp/14.webp
Сколько миллионов стоила разработка Grand Theft Auto VI?,1500,млн $,static/images_webp/15.webp
Сколько нужно комаров чтобы выпить всю кровь человека?,1100000,комаров,static/images_webp/16.webp
Сколько человек находится в местах лишения свободы по народной статье 228 УК РФ?,30000,человек,static/images_webp/17.webp
Сколько составляет чистый финансовый долг ОАО «РЖД» в млн ₽?,3800000,млн ₽,static/images_webp/18.webp
Какова была официальная максимальная стоимость одного билета на финальный матч ЧМ-2026?,32970,$,static/images_webp/19.webp
Сколько секунд продлился бой Конора Макгрегора против Макса Холлоуэя на турнире UFC 329?,69,секунд,static/images_webp/20.webp
Сколько раз Губка Боб Квадратные Штаны проваливал экзамен по вождению?,1258056,раз,static/images_webp/21.webp
"Сколько вариантов развития событий посмотрел Доктор Стрэндж в фильме «Мстители: Война бесконечности», чтобы найти единственный победный против Таноса?",14000605,вариантов,static/images_webp/22.webp
"Сколько ступеней ведет к Храму Нефрита, которые По пришлось преодолеть в самом начале мультфильма «Кунг-фу Панда»?",1000,ступеней,static/images_webp/23.webp
Сколько людей составляла общая аудитория кликера Hamster Kombat на пике его популярности?,300000000,человек,static/images_webp/24.webp
"Сколько рублей сжёг Моргенштерн, чтобы вызвать эмоции у аудитории, ведь он же артист?",100000,рублей,static/images_webp/25.webp
Сколько литров Кока-Колы понадобилось блогеру Мамиксу для его легендарного эксперимента?,10000,литров,static/images_webp/26.webp
"Сколько реальных дней непрерывной ходьбы понадобилось Курту Маку, чтобы дойти до края карты в Minecraft?",3650,дней,static/images_webp/27.webp
Сколько заплатил геймер за самый дорогой виртуальный скин в игре CS:GO/CS2?,1500000,$,static/images_webp/28.webp
Какое максимальное количество премий «Оскар» выигрывал один фильм за всю историю кино?,11,статуэток,static/images_webp/29.webp
Сколько миллионов людей по всему миру ежемесячно платят за подписку на стриминговый сервис Netflix?,280,млн людей,static/images_webp/30.webp
Сколько (в среднем) стоит один рекламный пост на странице Криштиану Роналду?,3750000,$,static/images_webp/31.webp
Сколько людей погибло во время ловли покемонов в игре Pokémon GO?,25,людей,static/images_webp/32.webp
Сколько спиннеров было продано на пике хайпа в мире за первые несколько месяцев года?,50000000,спиннеров,static/images_webp/33.webp
Сколько лет Оксимирон не проигрывал ни одного баттла до поражения против Славы КПСС в 2017 году?,9,лет,static/images_webp/34.webp
Сколько голов забил Лионель Месси за 60 матчей в сезоне 2011/2012 за «Барселону»?,73,голов,static/images_webp/35.webp
"Какое рекорд поставил Сильвио Сабба по максимальному количеству носков, надетых на одну ногу за одну минуту?",45,носков,static/images_webp/36.webp
"Сколько минут подряд человек не моргал, чтобы установить официальный рекорд по непрерывному смотрению?",1020,минут,static/images_webp/37.webp
"Сколько в среднем откликов на вакансии нужно отправить начинающему разработчику, чтобы получить один реальный оффер на работу?",400,откликов,static/images_webp/38.webp
Сколько километров наматывает курьер «Самоката» или «Яндекс Еды» за одну стандартную смену в мегаполисе?,50,км,static/images_webp/39.webp
Сколько детей-дракосликов родилось у Осла и Драконихи?,6,детей,static/images_webp/40.webp
Сколько стоит мороженое Frrrozen Haute Chocolate?,25000,$,static/images_webp/41.webp
Сколько стоит канцелярская скрепка Tiffany & Co?,185,$,static/images_webp/42.webp
Сколько всего греческих воинов осталось защищать Фермопильское ущелье в финальный день легендарной битвы?,1400,воинов,static/images_webp/43.webp
"Сколько женщин Пушкин официально внес в свой список дам, которыми он увлекался?",37,женщин,static/images_webp/44.webp
Сколько стоит одна пара дизайнерских ботинок Нагиева от Carol Christian Poell?,600000,₽,static/images_webp/45.webp
Сколько патентов на свои изобретения Тесла официально зарегистрировал по всему миру?,300,патентов,static/images_webp/46.webp
Сколько эпизодов шоу о народном депутате Наливкине было выпущено на канале BARAKuda?,29,эпизодов,static/images_webp/47.webp
Сколько полных лет Александр Иванов непрерывно создавал полотно «Явление Христа народу»?,20,лет,static/images_webp/48.webp
Сколько стоит стандартный участок на Луне площадью около 40 соток?,25,$,static/images_webp/49.webp
"Сколько чашек кофе эспрессо должен выпить взрослый человек за пару часов, чтобы получить смертельную дозу кофеина?",100,чашек,static/images_webp/50.webp
Какую максимальную скорость может развить вылетающая пробка из бутылки шампанского?,100,км/ч,static/images_webp/51.webp
Сколько бургеров сеть ресторанов McDonald’s продает каждую секунду?,75,бургеров,static/images_webp/52.webp
"Сколько крепких мужчин с пожарными топорами нужно, чтобы одолеть одного взрослого тираннозавра рекса?",80,мужчин,static/images_webp/53.webp
